ActiveX Installer (AxInstSV),AxInstSV,Manual,
AllJoyn Router Service,AJRouter,Manual,
App Readiness,AppReadiness,Manual,
Application Identity,AppIDSvc,Manual,
Application Information,Appinfo,Manual,
Application Layer Gateway Service,ALG,Manual,
Application Management,AppMgmt,Manual,
AppX Deployment Service (AppXSVC),AppXSvc,Manual,
Auto Time Zone Updater,tzautoupdate,Disabled,
AVCTP service,BthAvctpSvc,Manual,
Background Intelligent Transfer Service,BITS,Manual,
Background Tasks Infrastructure Service,BrokerInfrastructure,Automatic,
Base Filtering Engine,BFE,Automatic,
Bluetooth Audio Gateway Service,BTAGService,Manual,
Bluetooth Support Service,Bthserv,Disabled,
Capability Access Manager Service,Camsvc,Manual,
Certificate Propagation,CertPropSvc,Manual,
Client License Service (ClipSVC),ClipSVC,Manual,
CNG Key Isolation,KeyIso,Manual,
COM+ Event System,EventSystem,Automatic,
COM+ System Application,COMSysApp,Manual,
ConfigMgr Task Sequence Agent,smstsmgr,Manual,
Configuration Manager Remote Control,CmRcService,Automatic,
Connected Devices Platform Service,CDPSvc,Disabled,
Connected User Experiences and Telemetry,DiagTrack,Disabled,
CoreMessaging,CoreMessagingRegistrar,Automatic,
Credential Manager,VaultSvc,Manual,
Cryptographic Services,CryptSvc,Automatic,
Data Sharing Service,DsSvc,Manual,
DCOM Server Process Launcher,DcomLaunch,Automatic,
Delivery Optimization,DoSvc,Manual,
Device Association Service,DeviceAssociationService,Manual,
Device Install Service,DeviceInstall,Manual,
Device Management Enrollment Service,DmEnrollmentSvc,Manual,
Device Management Wireless Application Protocol (WAP) Push message Routing Service,dmwappushservice,Disabled,
Device Setup Manager,DsmSvc,Manual,
DevQuery Background Discovery Broker,DevQueryBroker,Manual,
DHCP Client,Dhcp,Automatic,
Diagnostic Policy Service,DPS,Automatic,
Diagnostic Service Host,WdiServiceHost,Manual,
Diagnostic System Host,WdiSystemHost,Manual,
Distributed Link Tracking Client,TrkWks,Automatic,
Distributed Transaction Coordinator,MSDTC,Automatic,
DNS Client,Dnscache,Automatic,
Downloaded Maps Manager,MapsBroker,Disabled,
Embedded Mode,embeddedmode,Manual,
Encrypting File System (EFS),EFS,Manual,
Enterprise App Management Service,EntAppSvc,Manual,
Extensible Authentication Protocol,Eaphost,Manual,
Function Discovery Provider Host,fdPHost,Manual,
Function Discovery Resource Publication,FDResPub,Manual,
Geolocation Service,lfsvc,Disabled,
GraphicsPerfSvc,GraphicsPerfSvc,Disabled,
Group Policy Client,gpsvc,Automatic,
Human Interface Device Service,hidserv,Disabled,
HV Host Service,HvHost,Manual,
Hyper-V Data Exchange Service,vmickvpexchange,Manual,
Hyper-V Guest Service Interface,vmicguestinterface,Manual,
Hyper-V Guest Shutdown Service,vmicshutdown,Manual,
Hyper-V Heartbeat Service,vmicheartbeat,Manual,
Hyper-V PowerShell Direct Service,vmicvmsession,Manual,
Hyper-V Remote Desktop Virtualization Service,vmicrdv,Manual,
Hyper-V Time Synchronization Service,vmictimesync,Manual,
